name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acidovorax temperans	80878	S	14022	3824	17846	0.05025
Acidovorax sp. KKS102	358220	S	2856	641	3497	0.00985
Acidovorax sp. HDW3	2714923	S	426	72	498	0.00140
Acidovorax sp. FHTAMBA	3140252	S	310	0	310	0.00087
Acidovorax sp. RAC01	1842533	S	240	47	287	0.00081
Acidovorax sp. T1	1858609	S	230	111	341	0.00096
Acidovorax sp. JMULE5	2518343	S	223	38	261	0.00073
Acidovorax sp. DW039	3095606	S	218	0	218	0.00061
Acidovorax sp. 1608163	2478662	S	205	29	234	0.00066
Acidovorax sp. A79	3056107	S	157	0	157	0.00044
Acidovorax sp. NCPPB 3576	2940488	S	58	21	79	0.00022
Acidovorax sp. GBBC 1281	2940492	S	40	27	67	0.00019
Acidovorax carolinensis	553814	S	382	97	479	0.00135
Acidovorax radicis	758826	S	120	13	133	0.00037
Diaphorobacter limosus	3036128	S	3377	782	4159	0.01171
Diaphorobacter sp. HDW4A	2714924	S	156	20	176	0.00050
Diaphorobacter sp. JS3050	2735554	S	143	325	468	0.00132
Diaphorobacter sp. HDW4B	2714925	S	136	9	145	0.00041
Diaphorobacter sp. C33	3060154	S	99	120	219	0.00062
Diaphorobacter sp. JS3051	2792224	S	90	227	317	0.00089
Diaphorobacter sp. MNS-0	2866628	S	79	146	225	0.00063
Diaphorobacter sp. ED-3	3016636	S	74	164	238	0.00067
Diaphorobacter aerolatus	1288495	S	95	15	110	0.00031
[Acidovorax] ebreus	721785	S	57	70	127	0.00036
Diaphorobacter ruginosibacter	1715720	S	57	5	62	0.00017
Diaphorobacter nitroreducens	164759	S	35	25	60	0.00017
Comamonas aquatica	225991	S	364	71	435	0.00122
Comamonas sp. NLF-1-9	2853163	S	96	17	113	0.00032
Comamonas sp. GB3 AK4-5	3231487	S	96	0	96	0.00027
Comamonas sp. B21-038	2918299	S	64	18	82	0.00023
Comamonas sp. Y33R10-2	2853257	S	51	6	57	0.00016
Comamonas sp. C11	2966554	S	21	68	89	0.00025
Comamonas testosteroni	285	S	297	205	502	0.00141
Comamonas thiooxydans	363952	S	295	205	500	0.00141
Comamonas fluminis	2796366	S	175	21	196	0.00055
Comamonas resistens	3046670	S	142	39	181	0.00051
Comamonas odontotermitis	379895	S	135	12	147	0.00041
Comamonas terrigena	32013	S	120	15	135	0.00038
Comamonas serinivorans	1082851	S	106	10	116	0.00033
Comamonas kerstersii	225992	S	105	11	116	0.00033
Comamonas antarctica	2743470	S	95	18	113	0.00032
Comamonas flocculans	2597701	S	93	19	112	0.00032
Comamonas endophytica	2949090	S	81	13	94	0.00026
Comamonas piscis	1562974	S	73	9	82	0.00023
Comamonas koreensis	160825	S	15	26	41	0.00012
Variovorax sp. HW608	1034889	S	202	28	230	0.00065
Variovorax sp. WDL1	207745	S	113	83	196	0.00055
Variovorax sp. PAMC 28711	1795631	S	97	16	113	0.00032
Variovorax sp. PBL-H6	434009	S	81	80	161	0.00045
Variovorax sp. V15	3065952	S	80	0	80	0.00023
Variovorax sp. RA8	662548	S	78	40	118	0.00033
Variovorax sp. PBS-H4	434008	S	76	23	99	0.00028
Variovorax sp. PAMC28562	2762323	S	75	7	82	0.00023
Variovorax sp. V213	3065955	S	70	0	70	0.00020
Variovorax sp. PAMC26660	2762322	S	58	21	79	0.00022
