# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
562	21625.0	15386.0	12166.0
208962	33.0	26.0	11.0
564	30.0	21.0	22.0
573	5013.0	5595.0	7865.0
1463165	567.0	750.0	568.0
2675726	145.0	272.0	0.0
1134687	179.0	244.0	370.0
1259973	123.0	296.0	45.0
244366	170.0	215.0	176.0
571	89.0	167.0	311.0
548	45.0	53.0	36.0
2058152	44.0	36.0	71.0
2153354	21.0	42.0	38.0
2026240	18.0	31.0	26.0
54291	157.0	478.0	199.0
575	49.0	110.0	50.0
577	16.0	16.0	0.0
1812935	216.0	282.0	218.0
550	314.0	434.0	184.0
61645	179.0	489.0	171.0
158836	515.0	482.0	782.0
208224	145.0	203.0	108.0
299767	31.0	34.0	24.0
69218	16.0	12.0	12.0
2494701	16.0	16.0	0.0
2071710	14.0	13.0	0.0
539813	319.0	802.0	363.0
2742676	30.0	85.0	0.0
2724468	13.0	0.0	0.0
2976431	18.0	0.0	17.0
885040	17.0	54.0	25.0
881260	21.0	26.0	0.0
28901	1804.0	1624.0	1323.0
546	235.0	227.0	293.0
1639133	98.0	63.0	115.0
57706	67.0	38.0	35.0
545	27.0	0.0	0.0
35703	19.0	20.0	17.0
2562449	11.0	0.0	0.0
623	150.0	221.0	0.0
622	145.0	0.0	0.0
580	67.0	159.0	15.0
51288	51.0	55.0	39.0
2725494	33.0	84.0	0.0
61648	13.0	16.0	12.0
83655	68.0	41.0	46.0
2815358	14.0	0.0	0.0
158822	37.0	20.0	16.0
2545798	10.0	0.0	0.0
1158459	24.0	0.0	0.0
208223	21.0	0.0	27.0
28141	39.0	0.0	36.0
61647	19.0	0.0	14.0
1334193	18.0	0.0	15.0
703	27.0	10.0	37.0
1972431	27.0	29.0	45.0
1691903	25.0	19.0	10.0
565	15.0	0.0	0.0
61646	15.0	14.0	21.0
1505757	12.0	13.0	0.0
2891570	10.0	0.0	0.0
2047724	10.0	0.0	0.0
2741499	321.0	325.0	554.0
615	270.0	235.0	481.0
47917	24.0	0.0	0.0
614	28.0	26.0	24.0
82996	20.0	14.0	16.0
42906	19.0	0.0	11.0
28151	12.0	0.0	15.0
33060	20.0	0.0	0.0
29486	17.0	33.0	0.0
29483	25.0	0.0	0.0
929813	13.0	0.0	14.0
2126321	10.0	0.0	12.0
549	53.0	45.0	64.0
59814	36.0	26.0	27.0
470934	37.0	0.0	0.0
553	15.0	13.0	28.0
55209	12.0	0.0	0.0
470931	15.0	0.0	0.0
9	83.0	105.0	60.0
2675378	27.0	0.0	0.0
1922217	22.0	23.0	0.0
55211	24.0	0.0	22.0
2872648	18.0	0.0	0.0
584	74.0	24.0	31.0
585	30.0	51.0	0.0
1574161	36.0	0.0	0.0
587	58.0	44.0	49.0
126385	16.0	11.0	0.0
588	50.0	0.0	0.0
582	55.0	39.0	32.0
171438	13.0	0.0	0.0
204042	45.0	42.0	0.0
556	23.0	0.0	18.0
204038	33.0	0.0	21.0
180957	54.0	0.0	0.0
636	45.0	21.0	23.0
569	25.0	21.0	15.0
3131927	19.0	0.0	0.0
3029055	12.0	0.0	0.0
2697027	21.0	0.0	0.0
3045147	2858.0	1369.0	2467.0
2004644	1279.0	376.0	1123.0
3157368	945.0	325.0	932.0
2743575	334.0	439.0	98.0
1879049	235.0	135.0	125.0
2908637	157.0	119.0	110.0
1758189	207.0	195.0	291.0
2930198	176.0	140.0	303.0
2798861	111.0	106.0	135.0
3003392	202.0	76.0	114.0
3003393	176.0	90.0	132.0
2004646	77.0	117.0	38.0
2953738	66.0	35.0	45.0
3156489	49.0	68.0	118.0
